seconds	trn-loss	val-loss		nsamples	enc-maxlen	dec-maxlen
 342	 3.0429	 2.9616		13859	18	63
 339	 2.8437	 2.7666		13859	18	63
 338	 2.3509	 2.0980		13859	18	63
 338	 1.8055	 1.6696		13859	18	63
 339	 1.5414	 1.5187		13859	18	63
 339	 1.3547	 1.3380		13859	18	63
 339	 1.2099	 1.2389		13859	18	63
 339	 1.0937	 1.1639		13859	18	63
 338	 0.9921	 1.1175		13859	18	63
 338	 0.9062	 1.0822		13859	18	63
 338	 0.8295	 0.9943		13859	18	63
 338	 0.7623	 0.9526		13859	18	63
 338	 0.6998	 0.9139		13859	18	63
 338	 0.6423	 0.9023		13859	18	63
 338	 0.5911	 0.8900		13859	18	63
 338	 0.5423	 0.8487		13859	18	63
 346	 0.4980	 0.8574		13859	18	63
 272	 0.9829	 0.9235		11333	21	59
 271	 0.8042	 0.8648		11333	21	59
 271	 0.7017	 0.8232		11333	21	59
 272	 0.6233	 0.8044		11333	21	59
 271	 0.5539	 0.8009		11333	21	59
 272	 0.4938	 0.7828		11333	21	59
 271	 0.4409	 0.7863		11333	21	59
 272	 0.9117	 0.8745		10216	22	67
 272	 0.7298	 0.8104		10216	22	67
 272	 0.6246	 0.7870		10216	22	67
 272	 0.5410	 0.7717		10216	22	67
 272	 0.4702	 0.7676		10216	22	67
 272	 0.4091	 0.7613		10216	22	67
 275	 0.3565	 0.7768		10216	22	67
 282	 0.8891	 0.8393		9484	24	75
 280	 0.6854	 0.8067		9484	24	75
 281	 0.5714	 0.7837		9484	24	75
 281	 0.4823	 0.7781		9484	24	75
 280	 0.4112	 0.7796		9484	24	75
 233	 0.8484	 0.8161		8993	26	62
 237	 0.6540	 0.7841		8993	26	62
 234	 0.5377	 0.7696		8993	26	62
 235	 0.4526	 0.7615		8993	26	62
 235	 0.3796	 0.7617		8993	26	62
 223	 0.8108	 0.7655		8461	27	62
 224	 0.6175	 0.7350		8461	27	62
 225	 0.5052	 0.7182		8461	27	62
 222	 0.4202	 0.7182		8461	27	62
 223	 0.3504	 0.7315		8461	27	62
 237	 0.8524	 0.8828		8162	28	69
 235	 0.6452	 0.8258		8162	28	69
 235	 0.5307	 0.8455		8162	28	69
 254	 0.8109	 0.7922		7783	30	80
 254	 0.6216	 0.7597		7783	30	80
 254	 0.5024	 0.7505		7783	30	80
 253	 0.4111	 0.7612		7783	30	80
 232	 0.7771	 0.7644		7449	31	75
 232	 0.5857	 0.7452		7449	31	75
 232	 0.4733	 0.7391		7449	31	75
 232	 0.3901	 0.7416		7449	31	75
 224	 0.8060	 0.8361		7204	32	74
 224	 0.6137	 0.8455		7204	32	74
 216	 0.7807	 0.7640		6911	34	73
 218	 0.6059	 0.7318		6911	34	73
 216	 0.4929	 0.7252		6911	34	73
 218	 0.4039	 0.7281		6911	34	73
 225	 0.7726	 0.7483		6609	35	81
 226	 0.5846	 0.7301		6609	35	81
 228	 0.4708	 0.7324		6609	35	81
 218	 0.8007	 0.7452		6395	37	78
 214	 0.6129	 0.7209		6395	37	78
 214	 0.4977	 0.7095		6395	37	78
 216	 0.4065	 0.7246		6395	37	78
 211	 0.8065	 0.7516		6108	38	80
 210	 0.6151	 0.7402		6108	38	80
 210	 0.5001	 0.7315		6108	38	80
 210	 0.4080	 0.7293		6108	38	80
 211	 0.3365	 0.7582		6108	38	80
 218	 0.8111	 0.7764		5827	40	89
 218	 0.6034	 0.7484		5827	40	89
 219	 0.4804	 0.7567		5827	40	89
 214	 0.8044	 0.7735		5549	42	91
 215	 0.6115	 0.7494		5549	42	91
 219	 0.4943	 0.7521		5549	42	91
 221	 0.8189	 0.8057		5294	45	97
 219	 0.6340	 0.8144		5294	45	97
 210	 0.8422	 0.8012		4948	48	99
 212	 0.6688	 0.7816		4948	48	99
 210	 0.5540	 0.7813		4948	48	99
 210	 0.4608	 0.7924		4948	48	99
 221	 0.8608	 0.8312		4590	52	115
 222	 0.6710	 0.7961		4590	52	115
 221	 0.5533	 0.8070		4590	52	115
 226	 0.8787	 0.8468		4187	58	129
 227	 0.6962	 0.8286		4187	58	129
 231	 0.5820	 0.8163		4187	58	129
 228	 0.4890	 0.8248		4187	58	129
 209	 0.9178	 0.8847		3657	69	132
 209	 0.7385	 0.8573		3657	69	132
 209	 0.6268	 0.8660		3657	69	132
 305	 1.0270	 1.0060		1864	263	332
 307	 0.8550	 0.9789		1864	263	332
 305	 0.7468	 0.9822		1864	263	332
